# sink age [yr], mass [Msun], accretion rate [Msun/yr]
5.493365832758780698e+02,3.033000773001847533e-02,2.891160965558945813e-05
1.549247997719541445e+03,5.237332547153557283e-02,1.738100640211800042e-05
2.548985115761618090e+03,6.852409514793063317e-02,1.375581395797551704e-05
3.549374327452367652e+03,8.160511464154306116e-02,1.203549883292714300e-05
4.550556594611342007e+03,9.511018905552454106e-02,1.598470116307505783e-05
5.548787572087965600e+03,1.096038737079359227e-01,1.059806002691855795e-05
6.548863424398365169e+03,1.174626596241335752e-01,6.838857830603539342e-06
7.548711416016722069e+03,1.251757636136187624e-01,5.940546592496267868e-06
8.549117088586284808e+03,1.328286913281231663e-01,6.518381752675323285e-06
9.548884469281309066e+03,1.437531332843808296e-01,1.193226539249355161e-05
1.054877389308142483e+04,1.574427122270209145e-01,1.180257285904578318e-05
1.154971029557162001e+04,1.689759853465715445e-01,1.411633077027932889e-05
1.254863396007760275e+04,1.801927921826955992e-01,1.459153922413354825e-05
1.354871219952184947e+04,1.929984046309429491e-01,1.307232546782818427e-05
1.454880100210175988e+04,2.039272335236193556e-01,1.021066522999725286e-05
1.554922404757634831e+04,2.136908791998016199e-01,1.093327856701914111e-05
1.654927312900729885e+04,2.247885965557347154e-01,1.170409483724631390e-05
1.754962671061370565e+04,2.337170662573533342e-01,7.259320664732308789e-06
1.854939126184716588e+04,2.423244099117827510e-01,1.603211762040844708e-05
1.954890499272894158e+04,2.557393312445835898e-01,1.289579512841901657e-05
2.054887664438820138e+04,2.675387152720435369e-01,1.205110286392344424e-05
2.154883763907052344e+04,2.776279814411607427e-01,7.251814877437231036e-06
2.254853955471770678e+04,2.863268055631162934e-01,9.180302719036812290e-06
2.354876308701442758e+04,2.947470766606231085e-01,9.547816770731284985e-06
2.454893681425388422e+04,3.036778312959823589e-01,8.780507421195238305e-06
2.554910515750825289e+04,3.119313785366464864e-01,9.997761958587458517e-06
2.654856669018729008e+04,3.205840268966518858e-01,7.347279980222812604e-06
2.754857581816266975e+04,3.275833300815118032e-01,8.241639797830794742e-06
2.854867878187331371e+04,3.350488612776871267e-01,9.494277703702997534e-06
2.954894362733982780e+04,3.454573576713273475e-01,7.774319599524034605e-06
3.054871468558995184e+04,3.538683918764481406e-01,9.022085322370719529e-06
3.154878029252716078e+04,3.612969284796478386e-01,6.518049008951256121e-06
3.254883357006706137e+04,3.682811211277476349e-01,6.357096301445788050e-06
3.354869099167684180e+04,3.767008091522427438e-01,6.143442843730556602e-06
3.454865671650940203e+04,3.828799722589603660e-01,6.497576112666743689e-06
3.554876630635964102e+04,3.897473559714649816e-01,6.937902203716728514e-06
3.654890062171623867e+04,3.963705941338648842e-01,6.425995086495415315e-06
3.754896501592505228e+04,4.027552103714586162e-01,5.693963533592080045e-06
3.854908840983153641e+04,4.070700996060211407e-01,4.209937241178140360e-06
3.954863401770153723e+04,4.119148615810496739e-01,5.967532758484848932e-06
4.054900252148899744e+04,4.178876571341378909e-01,6.071379075995708002e-06
4.154864658187265013e+04,4.240322236424094449e-01,8.093047723303856827e-06
4.254864716450722335e+04,4.315809201791672156e-01,7.174472576745513641e-06
4.354857770983829687e+04,4.391094424338318758e-01,6.752788524248994062e-06
4.454872312889007299e+04,4.449089703014053598e-01,6.546348419116110318e-06
4.554863728428537434e+04,4.515248951868293670e-01,8.769920461444528914e-06
4.654872743575278582e+04,4.584014569589967558e-01,5.743182134751619039e-06
4.754856047913646762e+04,4.643946743101492469e-01,5.811544579969324387e-06
4.854936933895008406e+04,4.700039554455782143e-01,5.651033918460234701e-06
4.954880088623492338e+04,4.761708135508797013e-01,5.980113856111218817e-06
5.054878715474612545e+04,4.807364777930424604e-01,4.918676055676307612e-06
5.154853850570147915e+04,4.855870769354400651e-01,5.216835529356367296e-06
5.254896899395186483e+04,4.900951432277507180e-01,4.849861052101927389e-06
5.354869747414348240e+04,4.944031305959586953e-01,3.749822538833859353e-06
5.454855479168353486e+04,4.984654096077726915e-01,3.226342362979816442e-06
5.554869285668656084e+04,5.023645398694273068e-01,4.060422697153929367e-06
5.654856818142627890e+04,5.077209216661967561e-01,5.418151564853205399e-06
5.754935577725589246e+04,5.116623417052195144e-01,5.468215064112144641e-06
5.854858779958565719e+04,5.166029289785883938e-01,4.904892485675226704e-06
5.954915144295417122e+04,5.203385777246539723e-01,3.296443060165233502e-06
6.054885033659389592e+04,5.238256666360020519e-01,4.432932685311755799e-06
6.154909152036189334e+04,5.277769366468322287e-01,3.773297735262543667e-06
6.254865249354640400e+04,5.314734288696016939e-01,3.837287208552538076e-06
6.354866794027692958e+04,5.359835316069692102e-01,3.745120080970217730e-06
6.454868774870645575e+04,5.397571677424933823e-01,3.159610875850746292e-06
6.554879874781139370e+04,5.428806627013902375e-01,3.071662940219103272e-06
6.654861122285717283e+04,5.462851933427184115e-01,3.684427551400859535e-06
6.754894789648054575e+04,5.490564113043541195e-01,2.642751286443829201e-06
6.854871182213767315e+04,5.513802572405300806e-01,1.987249320998477758e-06
6.954873695432500972e+04,5.540176697903000935e-01,2.647904294232963918e-06
7.054875347425715881e+04,5.568820762945754232e-01,2.508826879988115821e-06
7.154934053520177258e+04,5.595699833442676630e-01,2.941497508603552885e-06
7.254938803443989309e+04,5.628433567420559891e-01,3.349716106242593694e-06
7.354865839313503238e+04,5.665484205960208408e-01,4.436368581817000389e-06
7.454868230778852012e+04,5.699199649311069704e-01,2.812326099861997553e-06
7.554960892423082259e+04,5.726448665553960371e-01,2.268316438186132600e-06
