# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
3.763004684316104131e-01,3.325411476612874395e+01,3.057610533098173988e+01,3.237053128498932608e+01
1.377656347718005936e+00,3.195462493342286692e+01,3.359485654584346292e+01,3.566495059833667369e+01
2.376584434005524216e+00,3.874463083974182354e+01,4.020076985407335002e+01,3.578243287327594402e+01
3.376102848850258020e+00,3.956582484921082710e+01,3.782039249700878258e+01,3.565443881043254493e+01
4.378623985179123324e+00,4.382037028817768487e+01,4.022158177371412080e+01,3.568029876617215734e+01
5.378124165496718234e+00,4.514048020977593723e+01,4.097881278885433431e+01,3.628222020448755814e+01
6.377457900559693194e+00,4.840993897947282676e+01,3.863976603570238666e+01,3.661152633488103447e+01
7.376295236439350589e+00,5.305664413168788229e+01,3.748395256784412766e+01,3.523342981476846347e+01
8.376415060720260541e+00,5.335776359021105009e+01,3.968939120350407279e+01,3.638112330528851146e+01
9.376146644640860117e+00,5.312802561271812607e+01,3.764394799205734188e+01,3.574764006739972899e+01
1.037621661960713126e+01,4.870509688656658653e+01,3.779692421968525906e+01,3.718525723639889691e+01
1.137730329924343131e+01,5.200349059601700930e+01,4.014364646115815560e+01,3.865569755765012872e+01
1.237643525296805791e+01,5.288568292950081684e+01,4.281917145473008901e+01,4.209664138814063961e+01
1.337604147692634093e+01,5.085524781292587448e+01,4.098953697332986934e+01,4.186219537737252239e+01
1.437621708045573321e+01,3.744819298081333159e+01,3.973501435969377127e+01,4.740561970201481046e+01
1.537608638260722493e+01,4.587724993322343892e+01,4.147409450509826456e+01,5.140167318336911961e+01
1.637599618286517966e+01,5.423052386327699992e+01,4.268791123239789442e+01,5.268940006349028238e+01
1.737641806463077643e+01,4.473384176988358973e+01,3.939458066692115779e+01,5.269658448435019693e+01
1.837627334370194276e+01,5.109869203915022240e+01,4.327297996832108140e+01,5.541926784222501823e+01
1.937641660145649070e+01,4.592951233149615575e+01,4.029288537437366813e+01,5.247134075919329632e+01
2.037655940456092551e+01,4.428930864875660234e+01,3.961894948990607901e+01,5.282319430295511609e+01
2.137793657591133467e+01,4.864492117410686944e+01,4.013534994151959978e+01,5.183396295411451149e+01
2.237618026557082018e+01,4.731684266192884536e+01,4.033576678082140887e+01,5.729257725136341151e+01
2.337642804368818261e+01,5.301479256719899524e+01,4.345534398820907995e+01,5.482873481949401651e+01
2.437604055235821932e+01,7.976948579669007700e+01,4.288582746870181950e+01,5.452442172080534277e+01
2.537606554994483687e+01,6.104228943916372430e+01,4.088485844598945107e+01,5.355458326667667990e+01
2.637661648771626588e+01,7.844273528661726402e+01,4.242180285881647706e+01,5.640697948969963704e+01
2.737589622819398016e+01,6.130812457163061424e+01,4.047018496999286441e+01,5.263297174907278020e+01
2.837603177778768071e+01,4.411974232172097032e+01,4.080850833627865626e+01,5.260543483418597788e+01
2.937594263311104115e+01,5.768428188864589146e+01,4.071821353375993624e+01,4.791809973881906615e+01
3.037611615906217111e+01,6.544160763867056119e+01,4.151422924477151355e+01,4.985673345357535169e+01
3.137593920034592188e+01,6.075284258934428294e+01,4.306177419054579047e+01,5.111429266278041439e+01
3.237621092638009657e+01,5.377541497124304470e+01,4.692689554901529903e+01,5.176210161751640726e+01
3.337591846785266370e+01,5.780043188207889671e+01,4.588797958676919109e+01,5.583123599748076060e+01
3.437596420465999358e+01,5.444346341722823723e+01,4.466615586925138359e+01,5.208591107236477313e+01
3.537599217461710310e+01,5.385202018843780536e+01,4.575279278943663996e+01,5.414031255262933229e+01
3.637605190237677988e+01,5.106213282887780736e+01,4.470494085961784947e+01,5.356506187124058727e+01
3.737595782245967513e+01,5.503511129030736981e+01,4.775551294673714153e+01,5.829893942402618023e+01
3.837612629833179767e+01,5.252409680553200388e+01,4.421346077542572317e+01,5.706007511259814180e+01
3.937594725583266353e+01,5.415717912584623406e+01,4.701760440953694342e+01,5.490922387227330859e+01
4.037592927225822592e+01,5.328824348225015228e+01,4.632429644022510473e+01,5.370534561835243892e+01
4.137627503557417441e+01,5.166461173927957873e+01,4.260132644735060126e+01,5.083359525197142403e+01
4.237641964099557157e+01,4.432431076037887863e+01,4.281682943986560019e+01,5.075860642818970092e+01
4.337593347259871024e+01,4.945777820861796670e+01,4.260028512136943135e+01,4.949739640596414603e+01
4.437616793780912872e+01,4.700715868575020551e+01,4.249537102653306420e+01,4.980818178276763319e+01
4.537602258502698049e+01,5.119241241102170648e+01,4.327395631269788367e+01,5.062429157993871343e+01
4.637616557737717926e+01,4.454175990003921726e+01,4.203701050066999301e+01,4.788103175788641153e+01
4.737660793074456222e+01,4.528602334706034327e+01,4.330192910060556244e+01,4.515386101779077421e+01
4.837625495473697868e+01,4.675169750698956506e+01,4.510232446997643763e+01,4.542695426915400958e+01
4.937600070305948208e+01,4.659959629625847555e+01,4.316653100101358120e+01,4.475318578491569355e+01
5.037594381757765660e+01,4.929600276268359949e+01,4.486003475542031538e+01,4.632777506169367143e+01
5.137702208849060526e+01,5.430704003042465899e+01,4.561067126203126776e+01,4.740745375752141655e+01
5.237666566858062112e+01,5.571914153200429354e+01,4.377260111555371935e+01,4.791834799068055872e+01
5.337632427558241943e+01,5.607781631030713498e+01,4.607332223677973815e+01,5.026195554595595638e+01
